trip_distance,weekday,hour,day_rank
15.376,Monday,5.15,1
16.79,Monday,5.516666666666667,1
17.651,Monday,5.8,1
15.46,Monday,5.683333333333334,1
15.55,Monday,5.266666666666667,1
23.036,Monday,5.333333333333333,1
15.787,Monday,5.716666666666667,1
16.86,Monday,5.016666666666667,1
15.67,Monday,5.066666666666666,1
16.31,Monday,5.05,1
18.191,Monday,5.8,1
16.86,Monday,5.683333333333334,1
15.67,Monday,5.75,1
17.71,Monday,5.333333333333333,1
15.761,Monday,5.65,1
16.401,Monday,5.233333333333333,1
20.06,Monday,5.283333333333333,1
15.51,Monday,5.65,1
17.1,Monday,5.45,1
16.93,Monday,5.566666666666666,1
16.23,Monday,5.616666666666667,1
15.34,Monday,5.05,1
15.94,Monday,5.683333333333334,1
20.71,Monday,5.533333333333333,1
16.42,Monday,5.9,1
15.61,Monday,5.533333333333333,1
15.29,Monday,5.1,1
20.564,Monday,5.683333333333334,1
17.41,Monday,5.366666666666666,1
15.07,Monday,6.233333333333333,1
16.6,Monday,6.716666666666667,1
16.31,Monday,6.083333333333333,1
15.713,Monday,6.733333333333333,1
15.22,Monday,6.766666666666667,1
15.156,Monday,6.866666666666667,1
18.25,Monday,6.8,1
15.488,Monday,6.15,1
16.1,Monday,6.35,1
16.554,Monday,6.733333333333333,1
15.55,Monday,6.833333333333333,1
17.32,Monday,6.2,1
17.811,Monday,6.583333333333333,1
15.69,Monday,6.016666666666667,1
15.81,Monday,6.9,1
15.68,Monday,6.816666666666666,1
16.67,Monday,6.833333333333333,1
18.311,Monday,6.8,1
17.58,Monday,6.65,1
18.09,Monday,6.783333333333333,1
15.24,Monday,6.933333333333334,1
15.48,Monday,6.166666666666667,1
32.33,Monday,6.75,1
18.96,Monday,6.066666666666666,1
15.197,Monday,6.116666666666666,1
15.47,Monday,6.583333333333333,1
22.04,Monday,6.95,1
15.59,Monday,6.233333333333333,1
16.31,Monday,6.916666666666667,1
16.77,Monday,6.116666666666666,1
15.52,Monday,6.9,1
21.827,Monday,6.383333333333334,1
16.04,Monday,6.4,1
16.762,Monday,6.45,1
22.47,Monday,6.033333333333333,1
17.43,Monday,6.033333333333333,1
16.54,Monday,6.833333333333333,1
16.318,Monday,6.366666666666666,1
17.49,Monday,7.683333333333334,1
15.06,Monday,7.55,1
17.053,Monday,7.066666666666666,1
16.03,Monday,7.05,1
17.717,Monday,7.45,1
15.211,Monday,7.666666666666667,1
16.197,Monday,7.1,1
15.25,Monday,7.6,1
16.76,Monday,7.05,1
17.64,Monday,7.25,1
15.83,Monday,7.666666666666667,1
16.57,Monday,7.766666666666667,1
16.53,Monday,7.416666666666667,1
17.678,Monday,7.616666666666667,1
16.51,Monday,7.466666666666667,1
16.8,Monday,7.033333333333333,1
17.025,Monday,7.016666666666667,1
17.18,Monday,7.683333333333334,1
16.48,Monday,7.066666666666666,1
15.66,Monday,7.266666666666667,1
18.79,Monday,7.2,1
18.401,Monday,7.616666666666667,1
16.92,Monday,7.15,1
15.53,Monday,7.55,1
15.69,Monday,7.983333333333333,1
20.75,Monday,7.1,1
19.51,Monday,7.033333333333333,1
15.91,Monday,7.266666666666667,1
16.2,Monday,7.983333333333333,1
16.36,Monday,7.2,1
15.424,Monday,7.483333333333333,1
18.06,Monday,7.05,1
15.53,Monday,7.8,1
26.48,Monday,7.083333333333333,1
17.16,Monday,7.633333333333333,1
17.57,Monday,7.316666666666666,1
15.78,Monday,7.55,1
17.746,Monday,7.3,1
18.439,Monday,7.2,1
17.72,Monday,7.1,1
16.53,Monday,7.65,1
19.03,Monday,7.183333333333334,1
15.72,Monday,7.033333333333333,1
18.73,Monday,7.4,1
17.02,Monday,7.566666666666666,1
17.67,Monday,7.066666666666666,1
17.287,Monday,7.2,1
15.51,Monday,7.2,1
16.871,Monday,7.516666666666667,1
16.61,Monday,7.75,1
24.97,Monday,7.616666666666667,1
16.64,Monday,7.916666666666667,1
20.67,Monday,7,1
21.73,Monday,8.883333333333333,1
17.84,Monday,8.416666666666666,1
16.49,Monday,8.183333333333334,1
17.01,Monday,8.25,1
15.62,Monday,8.983333333333333,1
18.42,Monday,8.216666666666667,1
17.69,Monday,8.133333333333333,1
16.04,Monday,8.7,1
17.01,Monday,8.233333333333333,1
16.02,Monday,8.216666666666667,1
15.524,Monday,8.35,1
17.459,Monday,8.65,1
16.87,Monday,8.216666666666667,1
17.57,Monday,8.033333333333333,1
17.25,Monday,8.433333333333334,1
17.97,Monday,8.133333333333333,1
18.591,Monday,8.95,1
15.1,Monday,8.366666666666667,1
15.928,Monday,8.833333333333334,1
15.53,Monday,8.533333333333333,1
17.314,Monday,8.9,1
17.82,Monday,8.9,1
16.51,Monday,8.75,1
21.71,Monday,8.383333333333333,1
15.574,Monday,8.333333333333334,1
15.422,Monday,8.05,1
16.44,Monday,8.183333333333334,1
15.87,Monday,8.75,1
17.53,Monday,8.933333333333334,1
17.541,Monday,8.483333333333333,1
15.617,Monday,8.733333333333333,1
17.31,Monday,8.4,1
17.03,Monday,8.733333333333333,1
16.61,Monday,8.033333333333333,1
16.822,Monday,8.6,1
15.613,Monday,9.033333333333333,1
16.328,Monday,9.416666666666666,1
16.08,Monday,9.55,1
20.72,Monday,9.15,1
16.46,Monday,9.1,1
15.857,Monday,9.15,1
16.49,Monday,9.1,1
16.98,Monday,9.283333333333333,1
18.514,Monday,9.133333333333333,1
18.887,Monday,9.3,1
16.43,Monday,9,1
15.117,Monday,9.316666666666666,1
15.97,Monday,9.05,1
22.37,Monday,9.183333333333334,1
15.84,Monday,9.383333333333333,1
15.88,Monday,9.366666666666667,1
18.29,Monday,9.366666666666667,1
16.89,Monday,9.15,1
15.36,Monday,9.116666666666667,1
15.22,Monday,9.583333333333334,1
19.914,Monday,9.8,1
15.89,Monday,9.8,1
16.41,Monday,9.033333333333333,1
15.11,Monday,9.283333333333333,1
16.36,Monday,9.95,1
17.1,Monday,9.366666666666667,1
15.5,Monday,9.683333333333334,1
16.33,Monday,9.983333333333333,1
18.016,Monday,9,1
18.24,Monday,9.683333333333334,1
15.967,Monday,9.183333333333334,1
17.354,Monday,9.466666666666667,1
15.435,Monday,9.266666666666667,1
16.34,Monday,9.7,1
15.547,Monday,9.983333333333333,1
22.638,Monday,9.266666666666667,1
15.693,Monday,9.483333333333333,1
16.71,Monday,9.916666666666666,1
16.52,Monday,9.966666666666667,1
16.189,Monday,10.433333333333334,1
16.88,Monday,10.866666666666667,1
17.22,Monday,10.983333333333333,1
17.08,Monday,10.3,1
16.16,Monday,10.95,1
16.09,Monday,10.5,1
16.2,Monday,10.15,1
16.34,Monday,10.633333333333333,1
15.82,Monday,10.75,1
15.75,Monday,10.366666666666667,1
18.148,Monday,10.9,1
15.75,Monday,10.3,1
18.85,Monday,10.633333333333333,1
18.67,Monday,10.033333333333333,1
18.08,Monday,10.916666666666666,1
16.32,Monday,10.8,1
15.18,Monday,10.783333333333333,1
16.27,Monday,10.216666666666667,1
15.52,Monday,10.383333333333333,1
15.31,Monday,10.883333333333333,1
17.41,Monday,10.3,1
15.84,Monday,10.533333333333333,1
15.157,Monday,10.15,1
22.412,Monday,10.95,1
15.122,Monday,10.05,1
15.033,Monday,10.333333333333334,1
15.49,Monday,10.133333333333333,1
15.92,Monday,10.916666666666666,1
15.19,Monday,10.95,1
16.05,Monday,10.816666666666666,1
18.01,Monday,10.383333333333333,1
15.21,Monday,10.65,1
16.39,Monday,10.183333333333334,1
16.11,Monday,11.2,1
16.48,Monday,11.116666666666667,1
17.63,Monday,11.05,1
20.07,Monday,11.266666666666667,1
17.21,Monday,11.483333333333333,1
16.043,Monday,11.266666666666667,1
20.26,Monday,11.733333333333333,1
16.067,Monday,11.066666666666666,1
17.47,Monday,11.65,1
16.267,Monday,11.133333333333333,1
15.2,Monday,11.233333333333333,1
16.934,Monday,11.133333333333333,1
18.1,Monday,11.5,1
15.05,Monday,11.483333333333333,1
15.003,Monday,11.333333333333334,1
15.916,Monday,11.383333333333333,1
18.521,Monday,11.2,1
17.92,Monday,11.133333333333333,1
15.984,Monday,11.933333333333334,1
16.995,Monday,11.066666666666666,1
21.42,Monday,11.733333333333333,1
17.49,Monday,11.566666666666666,1
17.771,Monday,11.033333333333333,1
18.38,Monday,11.45,1
16.55,Monday,11.316666666666666,1
16.84,Monday,11.7,1
15.57,Monday,11.916666666666666,1
18.68,Monday,11.616666666666667,1
16.765,Monday,11.683333333333334,1
15.982,Monday,11.966666666666667,1
15.14,Monday,11.166666666666666,1
16.67,Monday,11.5,1
15.37,Monday,11.583333333333334,1
17.58,Monday,11.216666666666667,1
16.25,Monday,11.966666666666667,1
17.86,Monday,11.866666666666667,1
17.19,Monday,11.683333333333334,1
16.47,Monday,11.633333333333333,1
23.973,Monday,11.55,1
16.54,Monday,11.033333333333333,1
15.01,Monday,11.966666666666667,1
15.24,Monday,11.5,1
16.57,Monday,12.533333333333333,1
15.44,Monday,12.7,1
27.97,Monday,12.916666666666666,1
19.93,Monday,12.016666666666667,1
18.39,Monday,12.483333333333333,1
17.97,Monday,12.25,1
16.64,Monday,12.416666666666666,1
15.431,Monday,12.95,1
16.72,Monday,12.433333333333334,1
34.7,Monday,12.7,1
17.15,Monday,12.233333333333333,1
15.63,Monday,12.95,1
16.99,Monday,12.216666666666667,1
15.12,Monday,12.066666666666666,1
17.51,Monday,12.133333333333333,1
32.65,Monday,12.533333333333333,1
17.25,Monday,12.383333333333333,1
15.03,Monday,12.483333333333333,1
16.993,Monday,12.683333333333334,1
16.86,Monday,12.233333333333333,1
16.21,Monday,13.7,1
17.429,Monday,13.866666666666667,1
16.002,Monday,13.1,1
28.261,Monday,13.1,1
19.36,Monday,13.266666666666667,1
17.69,Monday,13.733333333333333,1
15.08,Monday,13.65,1
16.31,Monday,13.9,1
17.76,Monday,13.233333333333333,1
23.234,Monday,13.033333333333333,1
16.541,Monday,13.916666666666666,1
18.717,Monday,13.816666666666666,1
16.44,Monday,13.433333333333334,1
16.299,Monday,13.75,1
22.09,Monday,13.216666666666667,1
15.16,Monday,13.383333333333333,1
17.2,Monday,14.4,1
23.79,Monday,14.833333333333334,1
15.16,Monday,14.083333333333334,1
16.62,Monday,14.033333333333333,1
16.68,Monday,14.633333333333333,1
15.1,Monday,14.066666666666666,1
16.1,Monday,14.266666666666667,1
18.33,Monday,14.933333333333334,1
16.51,Monday,14.05,1
16.69,Monday,14.116666666666667,1
16.7,Monday,14.533333333333333,1
15.49,Monday,15.466666666666667,1
17.77,Monday,15.166666666666666,1
16.21,Monday,15.666666666666666,1
16.949,Monday,15.55,1
16.011,Monday,15.516666666666667,1
16.06,Monday,17.75,1
15.156,Monday,22.1,1
15.43,Monday,22.033333333333335,1
23.548,Monday,22.7,1
23.78,Monday,23.05,1
21.74,Monday,23.216666666666665,1
16.93,Monday,23.35,1
16.4,Monday,23.4,1
24.33,Monday,23.933333333333334,1
15.88,Monday,23.95,1
15.41,Monday,23.95,1
15.975,Monday,23.833333333333332,1
16.76,Monday,23.583333333333332,1
16.047,Monday,23.766666666666666,1
18.91,Monday,23.783333333333335,1
21.02,Monday,23.883333333333333,1
17.45,Monday,23.7,1
21.595,Monday,23.816666666666666,1
20.27,Monday,23.633333333333333,1
17.66,Monday,23.25,1
19.44,Monday,23.783333333333335,1
21.82,Monday,23.6,1
15.407,Monday,23.8,1
18.7,Monday,23.516666666666666,1
15.489,Monday,23.5,1
18.797,Monday,23.6,1
15.895,Monday,0,1
15.6,Monday,0.2,1
15.345,Monday,0.16666666666666666,1
15.476,Monday,0.4,1
31.46,Monday,0.7166666666666667,1
15.53,Monday,0.5166666666666667,1
18.17,Monday,0.016666666666666666,1
15.59,Monday,0.5333333333333333,1
17.65,Monday,0.05,1
15.92,Monday,0.6,1
15.55,Monday,0.3333333333333333,1
25.791,Monday,0.08333333333333333,1
17.26,Monday,0.13333333333333333,1
17.146,Monday,0.95,1
16.95,Monday,0,1
15.665,Monday,0.7166666666666667,1
17.76,Monday,0.8666666666666667,1
15.79,Monday,0.13333333333333333,1
18.136,Monday,0.7333333333333333,1
16.79,Monday,0.85,1
17.846,Monday,0.5333333333333333,1
15.65,Monday,0.9,1
15.53,Monday,0.8666666666666667,1
16.2,Monday,0.48333333333333334,1
16.24,Monday,0.3,1
17.518,Monday,0,1
15.14,Monday,0.18333333333333332,1
21.43,Monday,0.6666666666666666,1
15.87,Monday,0.7333333333333333,1
15.597,Monday,0.6833333333333333,1
18,Monday,0.016666666666666666,1
17.83,Monday,0.1,1
15.57,Monday,0.5,1
17.413,Monday,0.6833333333333333,1
17.125,Monday,0.36666666666666664,1
15.728,Monday,0,1
18.638,Monday,0.9833333333333333,1
15.66,Monday,0.55,1
15.628,Monday,0.4166666666666667,1
17.7,Monday,1.1166666666666667,1
15.81,Monday,1.1,1
18.35,Monday,1.7666666666666666,1
17.147,Monday,1.5166666666666666,1
17.34,Monday,1.95,1
18.07,Monday,1.15,1
25.077,Monday,1.1333333333333333,1
15.148,Monday,1.4333333333333333,1
17.17,Monday,1.65,1
42.372,Monday,1.9833333333333334,1
37.243,Monday,1.6666666666666665,1
16.25,Monday,1.6166666666666667,1
15.79,Monday,1.6166666666666667,1
16.515,Monday,1.9,1
15.39,Monday,1.05,1
17.58,Monday,1.5666666666666667,1
